customer_id,name,city,state,country,registration_date,is_active
CUST-000001,Daniel Virtanen,London,England,United Kingdom,2025-07-15,true
CUST-000002,Omar Lopez,Sydney,New South Wales,Australia,2023-10-18,true
CUST-000003,Mateo Andersson,Sydney,New South Wales,Australia,2022-10-24,true
CUST-000004,Zara Rossi,Rome,Lazio,Italy,2026-05-29,true
CUST-000005,Samuel Johnson,Lisbon,Lisbon,Portugal,2021-10-18,true
CUST-000006,Daniel Taylor,Dublin,Leinster,Ireland,2023-05-06,true
CUST-000007,Benjamin Korhonen,Milan,Lombardy,Italy,2024-10-26,true
CUST-000008,Mateo Schmidt,Berlin,Berlin,Germany,2023-11-04,true
CUST-000009,Emma Clark,Vancouver,British Columbia,Canada,2023-05-06,true
CUST-000010,Maya Wilson,Barcelona,Catalonia,Spain,2026-03-25,true
CUST-000011,Omar Petrov,Brussels,Brussels-Capital,Belgium,2026-04-25,true
CUST-000012,Grace Brown,London,England,United Kingdom,2020-01-26,false
CUST-000013,Henry Andersson,Vancouver,British Columbia,Canada,2022-11-21,true
CUST-000014,Samuel Wilson,Milan,Lombardy,Italy,2023-02-13,true
CUST-000015,Henry Williams,Amsterdam,North Holland,Netherlands,2023-05-20,true
CUST-000016,Eva Brown,Amsterdam,North Holland,Netherlands,2023-05-06,false
CUST-000017,Arthur Clark,Gothenburg,Vastra Gotaland,Sweden,2023-07-02,true
CUST-000018,Fatima Taylor,Rome,Lazio,Italy,2023-12-31,true
CUST-000019,Chloe Taylor,Brussels,Brussels-Capital,Belgium,2025-11-05,true
CUST-000020,Grace Clark,Tokyo,Tokyo,Japan,2020-12-29,true
CUST-000021,Henry Smith,Milan,Lombardy,Italy,2024-08-07,true
CUST-000022,Maya Taylor,Vienna,Vienna,Austria,2021-04-21,true
CUST-000023,Zara Dubois,Barcelona,Catalonia,Spain,2022-08-15,true
CUST-000024,Chloe Brown,Vancouver,British Columbia,Canada,2021-11-05,true
CUST-000025,Maya Ali,Toronto,Ontario,Canada,2021-02-07,true
CUST-000026,Jonas Moore,Lisbon,Lisbon,Portugal,2021-02-04,true
CUST-000027,Noah Virtanen,Prague,Prague,Czechia,2021-08-29,true
CUST-000028,Chloe Andersson,Madrid,Community of Madrid,Spain,2020-10-28,true
CUST-000029,Omar Khan,Vienna,Vienna,Austria,2025-06-01,true
CUST-000030,Isla Taylor,Berlin,Berlin,Germany,2022-12-08,true
CUST-000031,David Brown,Munich,Bavaria,Germany,2024-09-20,true
CUST-000032,Zara Virtanen,Amsterdam,North Holland,Netherlands,2021-02-10,true
CUST-000033,Yusuf Ali,Stockholm,Stockholm County,Sweden,2023-06-28,true
CUST-000034,Zara Berg,Lisbon,Lisbon,Portugal,2024-08-15,true
CUST-000035,Ada Berg,Vancouver,British Columbia,Canada,2025-12-25,false
CUST-000036,Jonas Davis,Milan,Lombardy,Italy,2023-09-27,true
CUST-000037,Lina Berg,Amsterdam,North Holland,Netherlands,2024-11-29,true
CUST-000038,Isla Schmidt,Amsterdam,North Holland,Netherlands,2022-08-04,true
CUST-000039,Amina Johnson,Tokyo,Tokyo,Japan,2025-01-14,true
CUST-000040,Emma Williams,Helsinki,Uusimaa,Finland,2023-03-11,true
CUST-000041,Noah Ali,Paris,Ile-de-France,France,2021-05-19,false
CUST-000042,Samuel Garcia,Tokyo,Tokyo,Japan,2020-09-05,true
CUST-000043,Zara Silva,Vienna,Vienna,Austria,2026-05-09,true
CUST-000044,Isla Taylor,Turku,Southwest Finland,Finland,2022-06-14,true
CUST-000045,Lucas Wilson,Dublin,Leinster,Ireland,2023-07-12,true
CUST-000046,Yusuf Ahmed,Dublin,Leinster,Ireland,2021-05-30,true
CUST-000047,Zara Davis,Amsterdam,North Holland,Netherlands,2025-09-28,true
CUST-000048,Samuel Moore,Stockholm,Stockholm County,Sweden,2022-06-29,true
CUST-000049,Mila Taylor,Stockholm,Stockholm County,Sweden,2020-07-29,true
CUST-000050,Zara Ahmed,Copenhagen,Capital Region,Denmark,2022-07-02,false
CUST-000051,Grace Smith,Austin,Texas,United States,2026-02-28,true
CUST-000052,Ada Nielsen,Brussels,Brussels-Capital,Belgium,2023-02-01,true
CUST-000053,Ada Davis,Toronto,Ontario,Canada,2022-09-16,true
CUST-000054,Grace Virtanen,Helsinki,Uusimaa,Finland,2022-10-31,true
CUST-000055,Arthur Wilson,Stockholm,Stockholm County,Sweden,2026-06-20,true
CUST-000056,Elias Nielsen,Madrid,Community of Madrid,Spain,2026-09-02,true
CUST-000057,Noah Garcia,Tokyo,Tokyo,Japan,2020-08-16,false
CUST-000058,Noah Berg,London,England,United Kingdom,2023-10-24,false
CUST-000059,Chloe Brown,Oslo,Oslo,Norway,2022-03-13,true
CUST-000060,Sofia Ahmed,Sydney,New South Wales,Australia,2025-05-04,true
CUST-000061,Henry Santos,Copenhagen,Capital Region,Denmark,2025-07-10,true
CUST-000062,Mateo Davis,Oslo,Oslo,Norway,2020-05-24,true
CUST-000063,Noah Wilson,Stockholm,Stockholm County,Sweden,2025-06-10,true
CUST-000064,Daniel Ali,Prague,Prague,Czechia,2026-03-02,true
